Number of Vehicles	Accident Day	Time	1st Road Class	Road Surface	Lighting Conditions	Weather Conditions	Casualty Class	Sex of Casualty	Age of Casualty	Type of Vehicle	Casualty Severity
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Sunday	3	Motorway	Frost / Ice	Darkness: street lighting unknown	Fine without high winds	Passenger	Male	54	Minibus (8 – 16 passenger seats)	Serious
											
											
											
											
											
											
											
2	Monday	1	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver	Male	20	Motorcycle over 50cc and up to 125cc	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Saturday	3	A	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Male	19	Car	Serious
											
											
											
											
											
											
1	Saturday	4	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	23	Car	Serious
1	Saturday	1	B	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Female	85	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
3	Tuesday	2	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	31	Car	Serious
											
											
4	Tuesday	3	A	Dry	Darkness: no street lighting	Fine without high winds	Driver	Female	32	Car	Serious
											
4	Tuesday	3	A	Dry	Darkness: no street lighting	Fine without high winds	Passenger	Male	27	Car	Serious
											
											
1	Tuesday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	5	Car	Serious
											
											
											
											
											
											
											
											
											
2	Wednesday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	87	Other Vehicle 	Serious
1	Wednesday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	56	Car	Serious
											
											
											
											
											
											
											
2	Thursday	4	B	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	31	Pedal cycle	Serious
											
											
											
											
											
											
1	Friday	3	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver	Male	29	Goods vehicle 7.5 tonnes mgw and over	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Sunday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	68	Car	Serious
											
1	Monday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	9	Goods vehicle 3.5 tonnes mgw and under	Serious
											
1	Monday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	22	Car	Serious
											
2	Tuesday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	19	Pedal cycle	Serious
											
											
											
2	Tuesday	4	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Passenger	Female	24	Car	Serious
											
											
											
											
											
											
											
1	Wednesday	1	A	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Driver	Male	28	Car	Serious
1	Wednesday	1	A	Dry	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Female	22	Car	Serious
											
1	Thursday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	7	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
2	Monday	4	B	Dry	Daylight: street lights present	Fine without high winds	Passenger	Female	68	Bus or coach (17 or more passenger seats)	Serious
											
											
											
3	Tuesday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	51	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Thursday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver	Female	61	Car	Serious
											
											
											
											
											
											
											
											
1	Friday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	86	Car	Serious
											
											
											
											
1	Saturday	2	A	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	34	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
2	Thursday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver	Female	28	Car	Serious
											
											
1	Friday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	76	Goods vehicle 7.5 tonnes mgw and over	Serious
											
											
											
1	Friday	1	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Male	79	Car	Serious
											
											
											
											
											
											
											
											
1	Sunday	2	A	Dry	Darkness: street lights present and lit	Fine without high winds	Driver	Male	49	Motorcycle over 500cc	Serious
											
											
1	Tuesday	2	Unclassified	Dry	Darkness: no street lighting	Fine without high winds	Passenger	Male	32	Car	Serious
											
											
											
											
											
											
											
											
2	Wednesday	4	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	10	Pedal cycle	Serious
											
2	Wednesday	2	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver	Male	26	Motorcycle over 50cc and up to 125cc	Serious
											
2	Thursday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver	Female	42	Pedal cycle	Serious
1	Thursday	4	A	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	24	Goods vehicle 7.5 tonnes mgw and over	Serious
											
											
											
											
											
											
											
											
											
4	Friday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	20	Car	Serious
											
4	Friday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Passenger	Male	20	Car	Serious
											
4	Friday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Passenger	Male	19	Car	Serious
											
											
											
											
											
											
											
											
1	Saturday	4	A	Dry	Darkness: street lights present and lit	Fine without high winds	Passenger	Male	18	Car	Serious
1	Saturday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	83	Car	Serious
											
											
											
											
1	Saturday	4	Unclassified	Dry	Darkness: no street lighting	Fine without high winds	Driver	Male	25	Goods vehicle 3.5 tonnes mgw and under	Serious
1	Saturday	3	Unclassified	Dry	Darkness: no street lighting	Fine without high winds	Passenger	Male	26	Goods vehicle 3.5 tonnes mgw and under	Serious
1	Sunday	1	Unclassified	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Female	43	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Wednesday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	3	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Friday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Passenger	Male	25	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
1	Monday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	61	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Wednesday	1	A	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	64	Car	Serious
											
											
2	Wednesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	36	Motorcycle over 125cc and up to 500cc	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
2	Friday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	16	Motorcycle over 50cc and up to 125cc	Serious
											
											
											
											
1	Saturday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	20	Motorcycle over 500cc	Serious
											
											
											
											
											
											
											
											
											
											
1	Monday	1	Unclassified	Dry	Darkness: no street lighting	Fine without high winds	Driver	Male	23	Motorcycle over 500cc	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Thursday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	57	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
2	Wednesday	2	A	Dry	Daylight: street lights present	Fine without high winds	Passenger	Female	61	Car	Serious
											
1	Thursday	4	B	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	80	Bus or coach (17 or more passenger seats)	Serious
											
											
											
											
											
2	Friday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	48	Motorcycle over 500cc	Serious
											
											
											
											
											
											
											
											
2	Saturday	3	A	Dry	Darkness: no street lighting	Fine without high winds	Pedestrian	Male	20	Car	Serious
											
											
											
1	Sunday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	78	Bus or coach (17 or more passenger seats)	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Wednesday	1	A	Wet / Damp	Daylight: street lights present	Fine without high winds	Pedestrian	Female	20	Motorcycle over 50cc and up to 125cc	Serious
											
											
											
											
											
											
											
1	Thursday	2	A	Wet / Damp	Darkness: street lighting unknown	Raining without high winds	Driver	Male	51	Motorcycle over 50cc and up to 125cc	Serious
											
											
											
											
											
											
											
											
											
											
											
											
2	Friday	1	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Pedestrian	Female	5	Car	Serious
2	Saturday	1	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver	Male	21	Car	Serious
											
											
											
											
											
											
											
1	Saturday	2	Unclassified	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Male	19	Taxi/Private hire car	Serious
											
											
											
											
											
2	Monday	3	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver	Male	40	Motorcycle over 50cc and up to 125cc	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
2	Tuesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	30	Pedal cycle	Serious
											
											
											
1	Tuesday	3	A	Wet / Damp	Daylight: street lights present	Fine without high winds	Passenger	Male	35	Bus or coach (17 or more passenger seats)	Serious
											
2	Wednesday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	38	Motorcycle over 500cc	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Thursday	1	A	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Pedestrian	Male	21	Car	Serious
											
											
											
											
											
											
											
											
1	Saturday	4	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Passenger	Female	57	Taxi/Private hire car	Serious
3	Sunday	1	B	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Passenger	Female	20	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Saturday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	74	Car	Serious
											
											
											
											
											
											
											
											
											
											
3	Sunday	3	A	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	17	Motorcycle over 125cc and up to 500cc	Serious
											
											
											
											
											
											
											
											
											
2	Monday	2	A	Dry	Darkness: street lighting unknown	Fine without high winds	Passenger	Male	13	Car	Serious
											
2	Monday	1	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	22	Pedal cycle	Serious
											
											
											
											
											
											
											
											
											
1	Tuesday	3	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Pedestrian	Female	3	Car	Serious
											
											
											
											
											
											
											
											
											
											
1	Wednesday	4	A	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	38	Car	Serious
											
2	Thursday	3	A	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver	Male	23	Motorcycle over 50cc and up to 125cc	Serious
											
											
											
2	Friday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	29	Pedal cycle	Serious
											
											
											
											
											
											
											
											
											
2	Saturday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	36	Motorcycle over 500cc	Serious
											
											
											
1	Sunday	4	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Passenger	Male	20	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Tuesday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	14	Car	Serious
1	Wednesday	1	A	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	53	Car	Serious
											
											
											
											
											
2	Wednesday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	50	Motorcycle over 500cc	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
2	Friday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	17	Motorcycle over 50cc and up to 125cc	Serious
											
1	Friday	4	A	Dry	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Female	21	Taxi/Private hire car	Serious
											
											
											
											
1	Saturday	4	A	Dry	Darkness: street lighting unknown	Fine without high winds	Passenger	Female	7	Goods vehicle 3.5 tonnes mgw and under	Serious
											
											
											
											
											
											
2	Sunday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	63	Motorcycle over 500cc	Serious
											
											
											
											
											
											
											
											
											
											
2	Wednesday	1	A	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	21	Motorcycle over 500cc	Serious
											
											
											
											
1	Thursday	2	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Pedestrian	Male	18	Car	Serious
											
2	Thursday	4	A	Dry	Darkness: street lights present and lit	Fine without high winds	Driver	Male	28	Motorcycle over 50cc and up to 125cc	Serious
											
											
											
2	Friday	2	A	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	24	Pedal cycle	Serious
											
											
1	Friday	1	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Female	29	Bus or coach (17 or more passenger seats)	Serious
											
											
											
1	Saturday	1	A	Dry	Darkness: street lighting unknown	Fine without high winds	Pedestrian	Female	51	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
2	Monday	4	A	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	32	Motorcycle over 50cc and up to 125cc	Serious
											
											
											
											
											
											
											
											
											
											
											
2	Tuesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver	Female	72	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
2	Wednesday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	31	Pedal cycle	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Monday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	67	Car	Serious
1	Monday	2	A	Dry	Darkness: street lighting unknown	Fine without high winds	Pedestrian	Male	66	Car	Serious
1	Monday	3	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Pedestrian	Male	5	Car	Serious
											
											
2	Tuesday	4	A	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	34	Pedal cycle	Serious
1	Tuesday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	90	Car	Serious
2	Tuesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	44	Car	Serious
2	Tuesday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	19	Motorcycle over 50cc and up to 125cc	Serious
2	Tuesday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	42	Motorcycle over 500cc	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
2	Monday	4	B	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	40	Pedal cycle	Serious
1	Monday	2	B	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	9	Car	Serious
											
											
											
2	Monday	4	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	32	Pedal cycle	Serious
											
											
											
2	Tuesday	3	A	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Female	64	Other Vehicle 	Serious
2	Tuesday	2	A	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	19	Car	Serious
2	Tuesday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver	Female	21	Pedal cycle	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Friday	1	B	Dry	Darkness: street lighting unknown	Fine without high winds	Pedestrian	Female	77	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
4	Sunday	2	A	Dry	Darkness: street lighting unknown	Fine without high winds	Passenger	Female	26	Motorcycle over 125cc and up to 500cc	Serious
											
1	Sunday	2	A	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	40	Motorcycle over 500cc	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
4	Wednesday	4	A	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver	Female	67	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
5	Saturday	4	A	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Passenger	Female	2	Car	Serious
											
											
											
3	Saturday	1	Unclassified	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver	Male	49	Taxi/Private hire car	Serious
											
											
											
											
											
											
1	Monday	1	A	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	44	Bus or coach (17 or more passenger seats)	Serious
											
2	Monday	4	A	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	31	Pedal cycle	Serious
1	Monday	1	A	Dry	Darkness: street lighting unknown	Fine without high winds	Pedestrian	Female	13	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
2	Wednesday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	16	Pedal cycle	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Sunday	1	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	51	Motorcycle over 500cc	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
2	Tuesday	3	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	34	Pedal cycle	Serious
											
											
											
											
1	Wednesday	3	A	Wet / Damp	Darkness: street lighting unknown	Fine without high winds	Driver	Male	32	Car	Serious
											
											
											
											
1	Wednesday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	18	Car	Serious
											
											
											
											
1	Thursday	4	A	Wet / Damp	Daylight: street lights present	Raining without high winds	Pedestrian	Male	12	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Monday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	13	Car	Serious
2	Monday	1	A	Wet / Damp	Darkness: street lighting unknown	Fine without high winds	Driver	Male	33	Pedal cycle	Serious
2	Tuesday	1	A	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver	Male	39	Pedal cycle	Serious
											
											
											
2	Wednesday	3	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	36	Pedal cycle	Serious
											
											
											
											
3	Thursday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	32	Motorcycle over 125cc and up to 500cc	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Sunday	3	A	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	50	Car	Serious
											
											
											
											
											
											
2	Sunday	1	A	Dry	Darkness: street lights present and lit	Fine without high winds	Driver	Male	46	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
2	Thursday	1	B	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	48	Pedal cycle	Serious
											
											
											
											
											
											
											
1	Friday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	14	M/cycle 50cc and under	Serious
											
											
											
											
											
											
											
											
											
											
											
2	Saturday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	33	Pedal cycle	Serious
											
1	Sunday	4	B	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	80	Car	Serious
											
											
											
2	Sunday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	20	Pedal cycle	Serious
1	Sunday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	8	Goods vehicle 3.5 tonnes mgw and under	Serious
											
											
											
											
											
											
											
2	Monday	3	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	48	Car	Serious
											
											
											
											
											
											
											
2	Monday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	48	Taxi/Private hire car	Serious
											
											
1	Monday	1	A	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	32	Motorcycle over 50cc and up to 125cc	Serious
1	Monday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	70	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
2	Wednesday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	51	Pedal cycle	Serious
											
											
											
											
											
											
											
											
1	Thursday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	8	M/cycle 50cc and under	Serious
											
											
											
											
											
											
											
											
											
2	Friday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Passenger	Female	61	Motorcycle over 50cc and up to 125cc	Serious
											
											
											
											
1	Friday	3	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Pedestrian	Female	9	Car	Serious
											
											
											
											
											
											
											
											
											
2	Sunday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver	Female	8	Pedal cycle	Serious
											
											
											
1	Monday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	79	Goods vehicle 7.5 tonnes mgw and over	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
2	Thursday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver	Female	65	Other Vehicle 	Serious
											
											
											
											
											
											
											
											
											
											
											
											
2	Friday	1	A	Wet / Damp	Darkness: street lighting unknown	Fine without high winds	Driver	Male	26	Motorcycle over 500cc	Serious
											
											
											
											
											
											
											
											
											
											
											
											
2	Sunday	1	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	42	Pedal cycle	Serious
											
											
											
											
											
											
											
											
											
											
											
2	Tuesday	4	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	18	Motorcycle over 50cc and up to 125cc	Serious
											
											
											
2	Tuesday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	37	Pedal cycle	Serious
											
2	Wednesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	7	Car	Serious
1	Wednesday	4	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Pedestrian	Female	23	Car	Serious
2	Wednesday	4	A	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	43	Motorcycle over 500cc	Serious
											
											
1	Wednesday	1	Unclassified	Dry	5	Fine without high winds	Pedestrian	Male	12	Car	Serious
											
											
											
											
											
											
											
											
											
2	Thursday	2	A	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	48	Pedal cycle	Serious
											
2	Thursday	1	Motorway	Dry	Darkness: street lighting unknown	Fine without high winds	Passenger	Female	50	Motorcycle over 500cc	Serious
											
											
											
2	Thursday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	18	Car	Serious
											
											
											
											
											
											
											
											
1	Friday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	23	Bus or coach (17 or more passenger seats)	Serious
											
											
											
											
											
											
											
											
											
											
1	Sunday	4	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Pedestrian	Male	15	Car	Serious
1	Sunday	2	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Pedestrian	Male	16	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Tuesday	2	B	Dry	Darkness: street lighting unknown	Fine without high winds	Pedestrian	Male	15	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Thursday	3	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Passenger	Male	22	Car	Serious
											
1	Thursday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	4	Car	Serious
											
											
											
											
											
											
											
											
1	Saturday	2	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Pedestrian	Female	10	Car	Serious
1	Saturday	4	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Pedestrian	Male	2	Car	Serious
											
											
											
											
1	Saturday	1	A(M)	Dry	Darkness: no street lighting	Fine without high winds	Driver	Male	56	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Tuesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	13	Goods vehicle 3.5 tonnes mgw and under	Serious
											
											
											
											
											
2	Wednesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	26	Motorcycle over 50cc and up to 125cc	Serious
											
											
											
1	Wednesday	3	A	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	55	Motorcycle over 500cc	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Saturday	4	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Pedestrian	Female	27	Car	Serious
1	Sunday	4	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Male	18	Car	Serious
											
1	Monday	1	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver	Male	16	M/cycle 50cc and under	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Saturday	4	A	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	53	Pedal cycle	Serious
											
											
											
1	Saturday	1	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Pedestrian	Male	27	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Thursday	1	A	Dry	Darkness: street lighting unknown	Fine without high winds	Passenger	Male	20	Car	Serious
											
											
											
											
1	Friday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	47	Motorcycle over 500cc	Serious
2	Friday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	60	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
1	Sunday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	5	Car	Serious
											
											
											
											
1	Monday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	11	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Wednesday	1	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Pedestrian	Male	18	Car	Serious
											
											
											
