Number of Vehicles	Accident Day	Time	1st Road Class	Road Surface	Lighting Conditions	Weather Conditions	Casualty Class	Sex of Casualty	Age of Casualty	Type of Vehicle	Casualty Severity
3	Wednesday	1	Motorway	Wet / Damp	Darkness: no street lighting	Fine without high winds	Driver or rider	Male	40	Car	Slight
3	Wednesday	3	Motorway	Wet / Damp	Darkness: no street lighting	Fine without high winds	Driver or rider	Male	22	Car	Slight
2	Wednesday	4	A	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Vehicle or pillion passenger	Male	20	Car	Serious
2	Wednesday	2	A	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Vehicle or pillion passenger	Male	20	Car	Slight
2	Wednesday	3	A	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver or rider	Male	33	Car	Slight
3	Thursday	2	Unclassified	Frost / Ice	Daylight: street lights present	Snowing with high winds	Driver or rider	Male	30	Car	Slight
3	Thursday	4	Unclassified	Frost / Ice	Daylight: street lights present	Snowing with high winds	Driver or rider	Female	35	Car	Slight
1	Wednesday	1	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Female	30	Car	Slight
1	Thursday	4	A	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	20	Car	Slight
2	Thursday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	62	Car	Slight
1	Thursday	2	Unclassified	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	36	Car	Slight
2	Thursday	2	A	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	68	Car	Serious
2	Thursday	3	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	23	Pedal cycle	Slight
2	Thursday	4	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	27	Car	Slight
2	Thursday	1	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	21	Car	Slight
2	Thursday	3	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Male	52	Pedal cycle	Slight
1	Friday	3	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	57	Pedal cycle	Slight
1	Friday	2	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Pedestrian	Male	26	Pedal cycle	Slight
1	Friday	3	Unclassified	Frost / Ice	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Female	17	M/cycle 50cc and under	Slight
2	Friday	2	B	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver or rider	Female	31	Car	Slight
2	Friday	1	Unclassified	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	37	Car	Slight
2	Friday	4	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Vehicle or pillion passenger	Female	26	Car	Serious
2	Friday	1	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Vehicle or pillion passenger	Male	7	Car	Slight
2	Friday	4	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Vehicle or pillion passenger	Male	7	Car	Slight
1	Saturday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	23	Car	Slight
2	Saturday	1	A	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	28	Car	Slight
2	Saturday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	84	Mobility Scooter	Slight
2	Saturday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	47	Car	Slight
2	Saturday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	41	Car	Slight
2	Saturday	4	A	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Female	53	Car	Slight
1	Saturday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	11	Bus or coach (17 or more passenger seats)	Serious
1	Saturday	2	Unclassified	Snow	Darkness: street lights present and lit	Snowing without high winds	Driver or rider	Male	19	M/cycle 50cc and under	Slight
2	Monday	3	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	26	Pedal cycle	Slight
2	Monday	1	Motorway	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Female	48	Car	Slight
2	Monday	2	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Female	58	Car	Serious
2	Monday	1	A	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Female	40	Pedal cycle	Serious
2	Monday	1	Unclassified	Wet / Damp	Darkness: street lights present and lit	Other	Driver or rider	Male	49	Pedal cycle	Slight
2	Monday	4	Unclassified	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Female	26	Car	Slight
2	Monday	1	Unclassified	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	14	Car	Slight
2	Tuesday	4	Unclassified	Wet / Damp	Daylight: street lights present	Unknown	Pedestrian	Male	17	Car	Slight
1	Tuesday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	42	Car	Serious
1	Tuesday	4	Unclassified	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Female	12	Car	Slight
2	Tuesday	2	A	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	27	Car	Slight
2	Tuesday	3	A	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Male	31	Car	Slight
2	Tuesday	1	A	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Male	29	Car	Slight
2	Tuesday	1	A	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Male	28	Car	Slight
2	Wednesday	4	Unclassified	Dry	Darkness: street lights present and lit	Unknown	Driver or rider	Female	40	Pedal cycle	Slight
2	Wednesday	4	B	Dry	Daylight: street lights present	Unknown	Driver or rider	Male	32	Pedal cycle	Slight
2	Wednesday	2	Unclassified	Wet / Damp	Darkness: no street lighting	Fine without high winds	Driver or rider	Male	73	Car	Serious
2	Wednesday	3	Unclassified	Wet / Damp	Darkness: no street lighting	Fine without high winds	Driver or rider	Male	47	Car	Slight
2	Wednesday	3	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Male	33	Car	Slight
1	Wednesday	4	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Pedestrian	Female	15	Car	Slight
1	Wednesday	4	Unclassified	Wet / Damp	Darkness: street lights present and lit	Other	Driver or rider	Male	25	Car	Slight
2	Wednesday	3	Unclassified	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Female	27	Car	Slight
1	Thursday	4	Unclassified	Frost / Ice	Daylight: street lights present	Fine without high winds	Driver or rider	Male	16	M/cycle 50cc and under	Slight
1	Thursday	1	Unclassified	Frost / Ice	Daylight: street lights present	Fine without high winds	Pedestrian	Female	52	Car	Slight
1	Thursday	3	Unclassified	Frost / Ice	Daylight: street lights present	Fine without high winds	Pedestrian	Male	33	Car	Slight
2	Thursday	3	A	Wet / Damp	Daylight: street lights present	Unknown	Driver or rider	Male	62	Car	Slight
1	Thursday	3	Unclassified	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Pedestrian	Male	12	Car	Slight
