V_count,A_Day,A_Time,Road_Type,Road_Surface,Lighting_Conditions,Weather_Conditions,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Type_of_Vehicle,Casualty_Severity
1,3,4,2,0,4,1,3,0,80,1,0
1,0,3,0,0,4,1,3,0,42,1,0
2,4,2,4,0,4,8,1,1,74,1,1
2,0,3,0,3,4,1,1,1,60,1,1
3,4,4,0,0,4,1,1,1,29,1,1
2,2,4,3,3,4,1,4,1,27,1,1
2,2,3,4,0,4,1,4,0,5,1,1
2,4,1,0,0,4,1,1,1,36,12,1
2,4,4,3,0,4,1,4,1,59,1,1
1,1,2,0,0,4,1,0,1,22,1,0
2,3,1,0,0,1,1,0,1,83,1,0
3,4,1,0,0,4,1,4,1,15,1,1
4,3,3,0,0,4,1,1,1,75,12,0
2,6,2,0,3,4,5,4,0,49,1,1
1,6,3,4,0,3,1,4,0,67,0,1
3,0,2,0,0,4,1,1,0,41,1,1
3,4,4,4,0,3,1,4,0,23,1,1
2,0,4,0,0,4,1,1,1,15,12,1
2,0,2,4,0,4,1,1,0,95,1,0
1,0,3,3,3,3,1,4,0,23,1,1
2,5,4,4,0,3,1,1,1,46,12,1
1,6,1,4,3,4,1,3,1,18,1,0
2,5,4,0,0,4,1,0,1,34,12,0
2,4,3,0,0,3,1,1,1,19,1,1
2,1,4,0,3,3,5,1,1,25,1,1
1,1,1,4,0,4,1,1,1,51,9,1
4,0,2,1,3,4,1,1,1,64,1,1
3,3,1,0,0,4,8,1,1,20,8,1
2,0,3,4,3,4,1,1,1,18,5,1
2,0,4,4,0,4,1,1,1,20,1,1
1,0,1,0,0,4,1,1,1,31,1,1
2,3,2,4,3,4,5,1,1,24,1,1
2,5,2,0,0,4,1,1,1,11,12,1
3,3,3,0,0,2,1,0,1,17,8,0
1,0,4,4,0,4,1,3,1,14,5,0
3,6,4,0,0,3,1,4,0,7,1,1
2,3,2,0,3,4,1,4,0,60,1,0
2,2,1,3,0,4,1,4,0,45,1,1
1,6,1,4,0,0,1,3,1,12,1,0
2,6,1,3,0,4,1,1,1,53,2,1
1,5,4,4,0,4,8,4,1,58,13,1
1,3,3,3,3,1,1,1,1,18,1,1
1,5,2,2,0,4,8,3,0,17,1,1
2,5,1,0,0,3,1,4,1,29,1,1
3,2,4,4,0,4,1,4,0,6,1,1
1,5,1,4,3,3,5,3,1,81,1,0
1,4,1,4,0,3,1,3,0,52,1,0
1,4,2,1,0,4,1,4,1,75,1,0
3,4,3,0,0,4,1,4,1,20,1,1
2,4,4,4,0,4,1,0,1,24,10,0
1,3,4,4,0,4,0,3,1,20,13,1
4,2,1,4,0,4,1,1,0,44,1,1
1,4,3,4,3,3,5,3,1,12,1,1
1,6,1,2,0,4,8,3,1,64,13,1
1,3,4,4,3,4,1,3,1,15,1,0
1,1,1,4,0,4,1,1,1,27,1,1
2,6,4,4,0,4,1,3,0,76,1,0
2,1,3,0,0,4,1,1,1,75,1,0
2,4,4,1,0,4,1,4,1,89,1,1
1,5,3,4,0,4,1,4,0,49,0,1
2,0,1,4,0,4,1,1,0,26,1,1
2,6,1,4,0,4,1,0,1,38,9,0
1,2,4,1,3,3,5,4,0,26,1,1
2,6,3,4,0,4,1,0,1,87,11,0
2,5,4,3,0,4,1,1,1,58,1,1
2,5,4,4,0,4,1,1,0,20,1,0
2,6,1,0,0,4,8,1,1,25,12,1
2,2,3,3,3,4,1,4,0,60,1,1
2,4,2,1,0,4,1,1,1,69,1,1
4,0,3,3,0,4,1,1,1,51,1,1
2,6,4,2,0,4,8,1,1,32,12,1
2,2,3,2,0,3,8,4,1,20,1,1
2,1,1,4,0,4,1,1,1,25,1,1
3,2,3,4,0,4,1,1,1,30,1,1
1,6,4,2,3,3,1,0,1,41,1,0
2,6,4,0,0,2,1,0,1,43,9,0
2,0,1,4,0,4,1,1,0,46,1,1
2,2,1,4,0,4,8,4,0,19,1,1
1,2,3,4,0,2,1,0,0,39,1,0
1,6,4,3,0,4,1,4,0,17,1,0
2,1,3,0,0,4,1,1,0,63,1,1
2,6,1,0,3,4,1,1,1,45,1,1
2,2,1,4,0,4,1,4,0,12,1,1
1,5,3,0,0,4,1,4,0,53,0,1
2,5,2,4,0,4,8,1,1,35,1,1
2,6,2,0,0,4,1,1,0,35,1,1
1,0,4,4,0,3,0,3,1,70,1,1
2,5,3,0,3,4,5,4,1,33,1,0
2,0,2,4,0,4,1,1,0,36,12,1
1,2,3,4,0,1,1,1,1,16,10,0
2,4,1,4,0,3,1,4,0,21,1,1
2,6,1,0,0,4,1,1,0,32,1,0
1,4,3,4,3,4,5,3,1,12,1,1
2,3,1,4,3,3,1,1,1,40,12,1
2,3,1,4,0,3,1,4,1,57,1,0
2,1,4,0,0,2,1,0,1,31,12,0
2,1,2,4,0,4,1,1,1,43,12,1
2,2,4,4,0,4,1,1,1,53,12,0
3,2,1,4,0,3,8,1,1,30,1,1
2,3,2,0,3,4,5,0,1,68,1,0
1,2,2,0,0,3,8,3,0,20,1,0
1,4,1,0,0,4,1,3,0,30,1,0
