,V_count,A_Day,A_Time,Road_Type,Road_Surface,Lighting_Conditions,Weather_Conditions,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Type_of_Vehicle,Casualty_Severity
423,2,3,4,3,0,3,1,4,0,5,1,1
424,2,3,1,2,3,3,1,4,1,17,13,1
425,3,1,4,3,0,4,1,1,1,53,1,1
426,2,1,2,0,0,4,1,1,0,48,1,1
427,2,1,1,4,0,4,1,1,1,16,5,1
428,2,1,4,3,0,4,1,1,1,31,1,1
429,2,1,4,4,0,4,1,1,1,40,1,1
430,2,1,4,0,3,3,5,1,1,25,1,1
431,2,1,3,0,3,3,5,1,0,49,1,1
432,1,5,4,1,3,4,1,1,1,54,3,1
433,2,5,1,4,0,4,5,1,1,21,12,1
434,2,5,1,4,3,4,1,1,1,40,1,1
435,2,5,4,4,0,3,1,1,1,46,12,1
436,1,5,2,4,0,3,1,3,0,75,13,0
437,1,6,2,4,1,4,8,1,1,33,10,1
438,3,6,2,4,0,4,8,1,1,27,2,1
439,1,6,4,0,2,4,7,3,0,25,1,0
440,3,6,1,4,2,4,8,1,1,39,1,1
441,3,6,3,4,2,4,8,1,0,38,1,1
442,3,6,4,4,2,4,8,1,0,79,1,1
443,1,6,4,0,2,4,7,1,1,19,10,1
444,2,6,1,4,0,4,8,4,0,45,0,1
445,2,6,4,4,0,4,8,4,0,42,0,1
446,2,6,4,4,1,4,8,3,1,48,1,1
447,2,6,1,0,0,4,8,1,1,42,1,1
448,2,6,4,2,3,3,5,1,1,56,12,1
449,2,6,2,4,0,4,8,1,0,34,1,1
450,1,6,3,4,0,4,1,3,1,14,1,0
451,3,5,2,0,0,4,1,1,1,19,12,1
452,1,6,3,4,3,4,1,3,1,44,1,1
453,2,6,3,4,3,4,1,4,0,14,1,1
454,1,4,4,0,0,4,1,3,0,11,1,1
455,2,4,3,0,3,3,1,4,0,60,0,1
456,3,4,3,0,3,3,5,1,1,21,1,1
457,2,0,2,4,1,4,7,4,1,2,1,1
458,2,4,4,4,0,4,1,1,1,21,12,1
459,2,2,3,4,3,4,1,1,0,39,1,1
460,2,2,3,4,3,4,1,4,0,44,1,1
461,2,2,1,3,0,4,1,4,0,45,1,1
462,2,2,4,0,3,4,1,1,1,74,1,1
463,2,2,1,0,3,4,1,1,1,49,13,1
464,2,3,2,4,0,4,1,1,1,37,1,1
465,2,3,2,4,0,4,1,4,0,39,1,0
466,2,3,4,4,0,4,1,1,1,42,1,1
467,2,3,4,4,0,4,1,4,1,11,1,0
468,2,3,2,4,0,4,1,4,1,9,1,1
469,2,3,2,4,0,4,1,4,1,2,1,1
470,2,3,3,4,0,4,8,1,1,35,1,1
471,2,3,3,4,0,4,8,4,0,11,1,1
472,3,3,2,0,0,4,1,4,0,20,1,1
473,3,3,3,0,0,4,1,1,1,47,1,1
474,1,3,1,4,0,4,1,1,0,52,1,1
475,2,3,4,4,0,4,1,1,1,29,12,1
476,1,3,2,4,0,3,1,1,1,37,1,1
477,2,1,2,4,0,4,1,1,1,43,12,1
478,1,1,3,4,0,4,1,3,0,15,1,0
479,2,1,3,3,0,4,1,1,0,24,1,1
480,2,1,1,3,0,4,1,4,1,30,1,1
481,1,1,2,4,0,4,1,1,1,31,12,1
482,1,1,1,4,0,4,1,3,0,55,12,1
